Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified,Time_Period,Engagement_Class
Instagram,Reel,Education,8387,360,179,13360,945,499770,1.79,4,Wednesday,20.0,172,Neutral,Macro,True,False,Night,0
Facebook,Video,Sports,5540,375,632,73879,402,487579,1.34,9,Wednesday,15.0,353,Neutral,Macro,True,False,Morning,0
Facebook,Post,Technology,1048,256,457,75334,393,29036,6.06,13,Wednesday,29.0,1717,Negative,Micro,True,False,Afternoon,1
LinkedIn,Post,Technology,1708,113,456,26761,259,402762,0.57,0,Thursday,19.0,764,Positive,Macro,True,True,Night,0
Instagram,Story,Technology,6145,224,238,45738,517,245871,2.69,5,Thursday,15.0,1954,Positive,Macro,True,False,Morning,1
Instagram,Story,Fitness,4399,125,33,21640,787,430456,1.06,10,Thursday,26.0,1064,Neutral,Macro,True,False,Morning,0
Twitter,Thread,Fitness,2837,260,1505,47775,332,120825,3.81,12,Thursday,21.0,880,Neutral,Macro,True,True,Afternoon,1
Instagram,Reel,Food,1974,308,125,21531,662,202126,1.19,16,Thursday,20.0,175,Positive,Macro,True,False,Afternoon,0
YouTube,Live,Travel,19612,881,609,22497,3392,364855,5.78,20,Thursday,15.0,185,Positive,Macro,True,False,Evening,1
YouTube,Video,Gaming,6523,343,247,886932,98,488156,1.46,23,Thursday,29.0,20,Neutral,Macro,True,False,Night,0
Instagram,Reel,Food,6327,440,130,935,289,140434,4.91,9,Friday,8.0,588,Neutral,Macro,True,True,Morning,1
Facebook,Story,Lifestyle,2672,360,464,2203,659,3383,103.34,10,Friday,17.0,484,Neutral,Nano,True,False,Morning,1
Instagram,Carousel,Fitness,1687,73,134,41648,732,117460,1.61,14,Friday,11.0,1798,Positive,Macro,True,False,Afternoon,0
Facebook,Live,Business,1784,227,117,77227,192,414100,0.51,12,Saturday,27.0,524,Neutral,Macro,True,True,Afternoon,0
YouTube,Short,Lifestyle,9264,590,1840,720597,1210,79923,14.63,14,Saturday,1.0,566,Neutral,Mid-tier,True,True,Afternoon,1
Facebook,Post,Lifestyle,6896,135,201,65197,354,373777,1.93,17,Saturday,22.0,1979,Positive,Macro,False,True,Evening,0
Twitter,Tweet,Fashion,156,131,1223,75745,121,499327,0.3,19,Saturday,13.0,622,Neutral,Macro,True,False,Evening,0
Instagram,Reel,Lifestyle,8448,490,202,29382,993,331405,2.76,2,Sunday,7.0,53,Positive,Macro,True,True,Night,1
Instagram,Story,Fashion,1242,270,186,833,524,476563,0.36,3,Sunday,12.0,565,Positive,Macro,True,False,Night,0
TikTok,Video,Fitness,37311,858,4513,439758,2823,458682,9.31,5,Sunday,22.0,598,Positive,Macro,True,False,Morning,1
Instagram,Story,Fashion,5138,49,140,47958,245,364057,1.46,5,Sunday,2.0,915,Positive,Macro,True,False,Morning,0
Facebook,Story,Travel,4532,332,707,24121,391,479509,1.16,7,Sunday,8.0,1244,Negative,Macro,True,False,Morning,0
Twitter,Retweet,Fitness,4492,244,997,24696,383,135479,4.23,7,Sunday,1.0,311,Negative,Macro,True,True,Morning,1
Twitter,Retweet,Fashion,3186,177,1551,27503,16,47435,10.36,11,Sunday,23.0,818,Neutral,Micro,True,False,Morning,1
Instagram,Carousel,Health,9902,174,48,760,226,373732,2.71,11,Sunday,21.0,188,Negative,Macro,True,True,Morning,1
LinkedIn,Article,Gaming,615,72,309,18554,208,309232,0.32,13,Sunday,10.0,905,Neutral,Macro,True,False,Afternoon,0
Facebook,Live,Health,6283,165,569,49857,522,352767,1.99,13,Sunday,10.0,523,Positive,Macro,True,True,Afternoon,0
Twitter,Tweet,Lifestyle,280,240,940,50483,119,484615,0.3,4,Monday,6.0,1692,Positive,Macro,True,False,Night,0
Instagram,Reel,Travel,545,440,95,46180,238,371362,0.29,5,Monday,6.0,561,Positive,Macro,True,True,Morning,0
LinkedIn,Article,Lifestyle,1635,90,194,14227,248,309567,0.62,6,Monday,24.0,863,Neutral,Macro,True,False,Morning,0
Instagram,Carousel,Health,6342,62,163,23890,486,44931,14.62,18,Monday,20.0,537,Positive,Micro,True,False,Evening,1
Twitter,Poll,Fashion,145,183,223,1947,282,119901,0.46,20,Monday,8.0,180,Positive,Macro,True,False,Evening,0
Twitter,Poll,Health,4073,129,1122,96934,425,26858,19.82,21,Monday,26.0,1660,Negative,Micro,True,True,Night,1
Facebook,Live,Entertainment,3270,132,535,10351,754,321725,1.22,0,Tuesday,24.0,358,Negative,Macro,True,True,Night,0
TikTok,Video,Business,33034,309,2036,242685,2609,185278,19.1,2,Tuesday,18.0,478,Negative,Macro,False,False,Night,1
TikTok,Duet,Fashion,8731,994,1938,75043,577,371740,3.14,3,Tuesday,24.0,491,Neutral,Macro,True,False,Night,1
Instagram,Carousel,Food,7684,20,151,3713,125,47275,16.62,3,Tuesday,28.0,726,Negative,Micro,True,False,Night,1
Facebook,Story,Entertainment,5232,366,371,10075,558,257653,2.32,11,Tuesday,11.0,1512,Positive,Macro,True,False,Morning,1
LinkedIn,Post,Health,472,94,425,18259,112,277798,0.36,11,Tuesday,18.0,755,Positive,Macro,True,False,Morning,0
Instagram,Story,Technology,8440,165,264,37752,483,477456,1.86,12,Tuesday,3.0,965,Negative,Macro,True,False,Afternoon,0
TikTok,Stitch,Lifestyle,46571,441,758,302431,1829,10027,476.41,13,Tuesday,19.0,272,Positive,Micro,True,False,Afternoon,1
LinkedIn,Poll,Health,794,7,127,14918,32,74896,1.24,16,Tuesday,20.0,1079,Neutral,Mid-tier,False,True,Afternoon,0
Facebook,Video,Sports,4283,106,38,73605,646,497216,0.89,18,Tuesday,5.0,291,Positive,Macro,True,True,Evening,0
YouTube,Community Post,Education,13734,469,172,726267,4479,272386,5.28,19,Tuesday,2.0,339,Positive,Macro,True,False,Evening,1
Facebook,Video,Gaming,3309,303,203,21871,590,93599,4.08,21,Tuesday,8.0,347,Negative,Mid-tier,True,True,Night,1
Facebook,Live,Business,6830,129,742,57034,78,235288,3.27,22,Tuesday,16.0,42,Neutral,Macro,True,False,Night,1
Facebook,Live,Sports,478,266,811,76686,562,382495,0.41,5,Wednesday,22.0,490,Positive,Macro,True,False,Morning,0
Twitter,Thread,Fitness,4449,21,209,57922,448,351032,1.33,10,Wednesday,29.0,303,Neutral,Macro,True,False,Morning,0
YouTube,Community Post,Lifestyle,4676,219,376,470105,4140,384995,1.37,11,Wednesday,5.0,1444,Neutral,Macro,True,False,Morning,0
Instagram,Photo,Technology,9883,67,77,43316,382,404723,2.48,14,Wednesday,15.0,695,Negative,Macro,False,False,Afternoon,1
LinkedIn,Poll,Lifestyle,1895,17,158,15208,205,406984,0.51,15,Wednesday,7.0,866,Neutral,Macro,False,True,Afternoon,0
Twitter,Thread,Education,400,4,1034,45335,106,245639,0.59,16,Wednesday,15.0,228,Neutral,Macro,True,False,Afternoon,0
TikTok,Stitch,Entertainment,35475,1898,2937,187442,1847,52432,76.88,21,Wednesday,6.0,87,Positive,Mid-tier,True,False,Night,1
Instagram,Photo,Food,5088,262,199,14888,660,435000,1.28,21,Wednesday,9.0,1786,Neutral,Macro,False,False,Night,0
TikTok,Duet,Lifestyle,32338,66,969,479514,2703,279271,11.95,22,Wednesday,18.0,447,Positive,Macro,True,False,Night,1
Facebook,Live,Sports,3204,107,380,57955,489,261013,1.41,0,Thursday,13.0,573,Positive,Macro,True,False,Night,0
Instagram,Story,Health,2366,255,107,32084,535,892,305.83,11,Thursday,21.0,1100,Neutral,Nano,True,True,Morning,1
TikTok,Duet,Technology,30187,821,4505,71771,2764,225519,15.75,14,Thursday,5.0,152,Neutral,Macro,True,False,Afternoon,1
LinkedIn,Article,Sports,170,19,259,25386,143,333768,0.13,21,Thursday,13.0,931,Neutral,Macro,True,True,Night,0
Facebook,Post,Food,6580,9,900,31319,646,30230,24.77,22,Thursday,24.0,1861,Neutral,Micro,True,False,Night,1
TikTok,Video,Health,31852,1590,801,323063,616,86675,39.51,8,Friday,28.0,21,Positive,Mid-tier,True,False,Morning,1
Twitter,Poll,Health,2640,172,1471,29943,329,466337,0.92,12,Friday,16.0,1184,Neutral,Macro,False,False,Afternoon,0
TikTok,Duet,Gaming,25781,1671,3381,20430,224,452037,6.82,15,Friday,26.0,16,Neutral,Macro,False,True,Afternoon,1
Facebook,Post,Gaming,6543,54,632,43676,465,374670,1.93,20,Friday,24.0,789,Positive,Macro,True,False,Evening,0
Facebook,Live,Business,504,234,46,44411,268,182875,0.43,20,Friday,5.0,326,Positive,Macro,True,False,Evening,0
Instagram,Carousel,Food,4453,438,291,663,248,148198,3.5,20,Friday,27.0,1250,Neutral,Macro,True,False,Evening,1
Facebook,Post,Sports,6260,5,169,6216,458,21174,30.39,21,Friday,4.0,1236,Positive,Micro,True,False,Night,1
Instagram,Photo,Gaming,5741,410,126,10052,350,259233,2.42,21,Friday,1.0,1804,Positive,Macro,True,True,Night,1
TikTok,Stitch,Fitness,38874,81,4338,232603,1319,286335,15.12,0,Saturday,9.0,467,Positive,Macro,True,False,Night,1
Twitter,Thread,Health,2813,177,396,67504,147,475435,0.71,7,Saturday,16.0,554,Positive,Macro,True,False,Morning,0
YouTube,Community Post,Health,4016,921,1195,677761,1270,471826,1.3,12,Saturday,13.0,1970,Negative,Macro,True,False,Afternoon,0
Instagram,Reel,Fitness,1899,280,211,45999,436,351424,0.68,18,Saturday,7.0,205,Neutral,Macro,True,False,Evening,0
Twitter,Tweet,Fashion,1910,32,362,17951,484,195649,1.18,18,Saturday,24.0,1569,Neutral,Macro,True,False,Evening,0
YouTube,Community Post,Technology,9823,417,589,639335,3961,453322,2.39,19,Saturday,22.0,739,Neutral,Macro,True,False,Evening,1
Twitter,Thread,Travel,2576,103,975,63465,221,316317,1.16,0,Sunday,4.0,1229,Positive,Macro,True,False,Night,0
LinkedIn,Poll,Sports,1545,120,12,2194,209,70581,2.38,5,Sunday,1.0,550,Positive,Mid-tier,True,False,Morning,1
YouTube,Video,Health,7987,542,791,398393,3449,223902,4.16,9,Sunday,10.0,160,Positive,Macro,True,False,Morning,1
Facebook,Live,Business,1062,134,81,28161,138,328440,0.39,21,Sunday,29.0,311,Positive,Macro,True,True,Night,0
YouTube,Short,Gaming,1100,821,1467,711542,4223,448840,0.75,21,Sunday,12.0,595,Negative,Macro,False,False,Night,0
TikTok,Stitch,Business,19793,1018,4074,257816,1086,295403,8.42,5,Monday,8.0,20,Neutral,Macro,True,False,Morning,1
Facebook,Post,Sports,4674,114,267,12139,303,122533,4.13,10,Monday,7.0,1408,Positive,Macro,True,True,Morning,1
LinkedIn,Article,Fashion,1574,48,478,23296,7,40387,5.2,22,Monday,1.0,1264,Neutral,Micro,False,False,Night,1
Instagram,Story,Education,150,43,291,2900,309,235868,0.21,2,Tuesday,25.0,1100,Positive,Macro,True,False,Night,0
Facebook,Video,Technology,286,219,454,69548,168,128453,0.75,6,Tuesday,5.0,252,Neutral,Macro,True,False,Morning,0
Instagram,Photo,Technology,9875,148,105,34673,464,240935,4.2,8,Tuesday,20.0,170,Positive,Macro,True,False,Morning,1
Twitter,Retweet,Technology,2508,106,230,19802,32,60754,4.68,15,Tuesday,0.0,702,Negative,Mid-tier,True,True,Afternoon,1
Instagram,Story,Education,1379,34,296,4199,917,209384,0.82,23,Tuesday,9.0,231,Positive,Macro,True,False,Night,0
YouTube,Video,Gaming,4368,808,275,190721,807,8798,61.96,6,Wednesday,6.0,504,Positive,Nano,False,False,Morning,1
Facebook,Video,Education,647,131,266,5057,494,211133,0.49,7,Wednesday,26.0,492,Neutral,Macro,False,True,Morning,0
Twitter,Poll,Sports,3399,215,947,53196,380,498316,0.92,8,Wednesday,7.0,1306,Positive,Macro,True,True,Morning,0
Facebook,Live,Lifestyle,7091,159,835,35164,583,64065,12.62,11,Wednesday,11.0,595,Neutral,Mid-tier,False,False,Morning,1
Instagram,Reel,Health,412,142,210,40620,74,371799,0.21,13,Wednesday,21.0,99,Positive,Macro,True,True,Afternoon,0
YouTube,Live,Health,19639,806,321,725703,2092,216772,9.58,16,Wednesday,24.0,34,Neutral,Macro,True,True,Afternoon,1
Instagram,Photo,Technology,3668,263,261,3706,470,313065,1.34,17,Wednesday,10.0,211,Neutral,Macro,True,False,Evening,0
Twitter,Poll,Fitness,26,207,1207,94651,187,216637,0.66,19,Wednesday,19.0,183,Positive,Macro,False,False,Evening,0
Facebook,Video,Business,5171,250,163,70298,748,230965,2.42,22,Wednesday,6.0,177,Negative,Macro,True,False,Night,1
Twitter,Retweet,Fitness,3940,142,1944,37624,55,94953,6.35,22,Wednesday,7.0,1786,Neutral,Mid-tier,True,True,Night,1
Twitter,Poll,Fashion,1613,51,1235,89627,346,417600,0.69,11,Thursday,24.0,1358,Negative,Macro,True,False,Morning,0
TikTok,Video,Fashion,5391,243,3142,9876,2778,334144,2.63,11,Thursday,8.0,199,Negative,Macro,True,False,Morning,1
Facebook,Post,Fashion,3046,9,192,60195,750,331736,0.98,16,Thursday,26.0,1143,Positive,Macro,True,False,Afternoon,0
Facebook,Post,Food,3401,57,340,76452,437,191616,1.98,1,Friday,23.0,1621,Positive,Macro,True,False,Night,0
Instagram,Photo,Gaming,5564,46,94,22263,290,389329,1.47,19,Friday,25.0,1257,Neutral,Macro,True,False,Evening,0
LinkedIn,Poll,Entertainment,1615,83,358,1184,201,419135,0.49,20,Friday,7.0,1133,Neutral,Macro,True,False,Evening,0
Facebook,Video,Sports,7957,303,613,33600,654,333889,2.66,21,Friday,21.0,408,Positive,Macro,True,False,Night,1
LinkedIn,Post,Business,1964,112,118,26278,250,344068,0.64,3,Saturday,14.0,1150,Negative,Macro,True,False,Night,0
Instagram,Carousel,Technology,1169,171,63,49825,262,51542,2.72,8,Saturday,24.0,1665,Positive,Mid-tier,True,False,Morning,1
Twitter,Retweet,Fitness,4251,281,83,43738,197,105394,4.38,12,Saturday,4.0,520,Neutral,Macro,True,False,Afternoon,1
Facebook,Video,Sports,4917,86,380,16484,458,177685,3.03,15,Saturday,9.0,282,Neutral,Macro,True,False,Afternoon,1
Instagram,Reel,Entertainment,1417,62,92,32890,871,487213,0.32,20,Saturday,16.0,53,Positive,Macro,True,False,Evening,0
Facebook,Story,Travel,4929,226,92,71992,436,117699,4.46,23,Saturday,27.0,415,Positive,Macro,True,False,Night,1
Facebook,Post,Sports,7406,273,937,20661,728,220994,3.9,1,Sunday,2.0,833,Neutral,Macro,True,False,Night,1
Instagram,Photo,Travel,1488,333,46,21794,342,383497,0.49,1,Sunday,5.0,314,Positive,Macro,True,False,Night,0
Instagram,Story,Travel,5701,337,47,4501,73,319398,1.91,12,Sunday,6.0,429,Positive,Macro,True,False,Afternoon,0
TikTok,Stitch,Food,39344,1057,3856,483575,2839,7666,577.32,16,Sunday,22.0,289,Positive,Nano,True,False,Afternoon,1
Facebook,Story,Lifestyle,7105,184,663,57034,787,388195,2.05,19,Sunday,15.0,379,Positive,Macro,True,True,Evening,0
Facebook,Video,Education,3160,17,801,64490,756,197420,2.01,22,Sunday,20.0,489,Positive,Macro,True,False,Night,0
YouTube,Video,Gaming,1601,167,967,69858,314,94188,2.9,0,Monday,22.0,315,Negative,Mid-tier,True,False,Night,1
Instagram,Reel,Technology,5014,121,200,34570,591,338316,1.58,5,Monday,6.0,396,Positive,Macro,True,True,Morning,0
Facebook,Post,Health,4000,301,563,17282,533,223263,2.18,10,Monday,14.0,1175,Positive,Macro,False,False,Morning,0
Instagram,Carousel,Technology,3582,261,269,32102,371,67550,6.09,19,Monday,13.0,1344,Neutral,Mid-tier,True,True,Evening,1
Twitter,Tweet,Education,4511,242,36,26120,204,412694,1.16,22,Monday,27.0,1131,Positive,Macro,True,True,Night,0
Facebook,Story,Entertainment,3406,66,294,43825,71,469285,0.8,4,Tuesday,9.0,874,Neutral,Macro,True,False,Night,0
Facebook,Story,Health,2646,146,360,15128,399,239280,1.32,4,Wednesday,19.0,1801,Neutral,Macro,True,False,Night,0
Facebook,Live,Gaming,3969,175,183,5188,382,367915,1.18,9,Wednesday,10.0,337,Neutral,Macro,True,True,Morning,0
Instagram,Carousel,Entertainment,980,463,10,46112,430,164423,0.88,10,Wednesday,20.0,549,Positive,Macro,True,False,Morning,0
YouTube,Live,Education,18368,441,862,395961,989,39996,49.18,16,Wednesday,27.0,448,Positive,Micro,False,True,Afternoon,1
Facebook,Post,Sports,7706,42,138,7407,198,143074,5.51,18,Wednesday,27.0,1042,Positive,Macro,True,False,Evening,1
TikTok,Stitch,Technology,49227,86,4822,379735,1115,344496,15.71,21,Wednesday,17.0,457,Positive,Macro,True,True,Night,1
LinkedIn,Document,Food,1699,140,161,19708,239,57036,3.51,14,Thursday,24.0,1820,Positive,Mid-tier,True,True,Afternoon,1
Instagram,Photo,Gaming,9387,466,117,43543,76,456679,2.18,19,Thursday,19.0,1434,Negative,Macro,True,False,Evening,0
YouTube,Video,Travel,19119,832,500,707443,3959,99624,20.53,21,Thursday,1.0,32,Neutral,Mid-tier,False,False,Night,1
Facebook,Live,Gaming,4105,21,179,58944,767,313836,1.37,12,Friday,17.0,120,Neutral,Macro,True,False,Afternoon,0
TikTok,Stitch,Entertainment,28457,874,808,482007,544,162847,18.51,15,Friday,14.0,16,Neutral,Macro,False,False,Afternoon,1
YouTube,Community Post,Health,11912,44,699,370992,966,413785,3.06,15,Friday,28.0,564,Positive,Macro,True,False,Afternoon,1
Instagram,Photo,Technology,4419,362,178,6368,793,351262,1.41,16,Friday,1.0,177,Neutral,Macro,True,False,Afternoon,0
Instagram,Carousel,Gaming,5039,401,199,46894,47,66810,8.44,23,Friday,19.0,699,Neutral,Mid-tier,True,False,Night,1
Facebook,Story,Lifestyle,2704,316,297,26466,794,10611,31.26,2,Saturday,17.0,379,Positive,Micro,True,False,Night,1
Instagram,Carousel,Education,7298,278,277,8550,967,224881,3.49,4,Saturday,24.0,1626,Neutral,Macro,True,False,Night,1
Instagram,Story,Food,7597,340,80,23442,462,418644,1.91,4,Saturday,22.0,312,Neutral,Macro,True,False,Night,0
LinkedIn,Post,Lifestyle,1596,75,145,16202,192,28123,6.46,6,Saturday,7.0,1132,Positive,Micro,True,False,Morning,1
Twitter,Thread,Travel,132,190,1140,39062,314,492341,0.3,10,Saturday,25.0,1198,Positive,Macro,True,False,Morning,0
Twitter,Thread,Entertainment,4938,80,350,87624,253,75802,7.08,12,Saturday,11.0,1965,Positive,Mid-tier,True,True,Afternoon,1
TikTok,Video,Lifestyle,21899,852,1624,216540,1355,208930,11.67,14,Saturday,26.0,259,Neutral,Macro,True,False,Afternoon,1
YouTube,Video,Technology,4055,392,410,714341,968,461106,1.05,20,Saturday,24.0,387,Positive,Macro,True,True,Evening,0
Twitter,Tweet,Gaming,4209,6,1592,55421,209,474433,1.22,22,Saturday,18.0,1709,Negative,Macro,False,False,Night,0
YouTube,Live,Technology,19439,416,1257,103552,111,404640,5.22,23,Saturday,10.0,235,Negative,Macro,False,True,Night,1
Instagram,Reel,Travel,5243,246,50,32559,743,199357,2.78,2,Sunday,23.0,555,Neutral,Macro,True,False,Night,1
Facebook,Post,Food,7415,241,458,69266,94,25271,32.11,5,Sunday,15.0,1971,Neutral,Micro,True,False,Morning,1
Instagram,Story,Lifestyle,7180,59,151,45196,972,399546,1.85,6,Sunday,24.0,1747,Negative,Macro,True,False,Morning,0
Facebook,Post,Gaming,7237,175,443,10194,605,456017,1.72,3,Monday,16.0,680,Positive,Macro,True,True,Night,0
Twitter,Poll,Lifestyle,2589,122,805,35253,169,235928,1.49,7,Monday,10.0,290,Neutral,Macro,True,False,Morning,0
Instagram,Story,Business,9569,107,246,42216,833,286216,3.47,10,Monday,22.0,1440,Positive,Macro,True,False,Morning,1
TikTok,Video,Gaming,47487,1549,256,159641,864,479906,10.27,12,Monday,18.0,598,Positive,Macro,True,False,Afternoon,1
Twitter,Tweet,Travel,2301,74,1385,30622,95,404521,0.93,17,Monday,8.0,1413,Neutral,Macro,True,False,Evening,0
YouTube,Short,Travel,13117,628,930,295203,1543,431364,3.4,18,Monday,15.0,202,Positive,Macro,True,False,Evening,1
Instagram,Carousel,Lifestyle,8458,200,282,3773,656,197652,4.52,1,Tuesday,19.0,827,Neutral,Macro,False,False,Night,1
LinkedIn,Document,Fitness,933,23,105,25316,208,225511,0.47,2,Tuesday,25.0,1157,Positive,Macro,True,False,Night,0
TikTok,Duet,Lifestyle,27941,1035,4109,372278,2894,216608,15.27,2,Tuesday,16.0,505,Positive,Macro,True,True,Night,1
Facebook,Post,Lifestyle,2076,216,192,53218,541,46036,5.4,5,Tuesday,4.0,1976,Positive,Micro,True,False,Morning,1
Twitter,Poll,Sports,427,134,1710,42573,480,42382,5.36,8,Tuesday,0.0,197,Positive,Micro,False,False,Morning,1
Instagram,Reel,Fitness,3768,498,25,39951,71,171219,2.51,12,Tuesday,10.0,524,Negative,Macro,True,True,Afternoon,1
Twitter,Poll,Lifestyle,1831,147,384,17551,261,448750,0.53,15,Tuesday,11.0,1986,Neutral,Macro,True,False,Afternoon,0
TikTok,Stitch,Fitness,17512,1627,1262,489469,642,134117,15.21,15,Tuesday,1.0,146,Neutral,Macro,True,True,Afternoon,1
Twitter,Poll,Gaming,2067,150,1269,29794,296,258757,1.35,15,Tuesday,21.0,1364,Positive,Macro,True,False,Afternoon,0
Instagram,Reel,Sports,8616,380,36,18276,38,13508,66.86,20,Tuesday,16.0,518,Neutral,Micro,True,False,Evening,1
TikTok,Duet,Fitness,42835,1976,1787,442991,291,15540,299.86,23,Tuesday,0.0,507,Neutral,Micro,True,False,Night,1
Facebook,Video,Fashion,1475,16,196,60885,649,141298,1.19,2,Wednesday,9.0,338,Neutral,Macro,True,True,Night,0
LinkedIn,Post,Lifestyle,1360,39,433,21326,41,185414,0.99,3,Wednesday,27.0,457,Negative,Macro,True,True,Night,0
YouTube,Short,Travel,7502,370,1922,302746,2392,122225,8.01,14,Wednesday,3.0,34,Neutral,Macro,True,False,Afternoon,1
TikTok,Duet,Sports,14790,205,564,15956,873,19618,79.31,7,Thursday,8.0,359,Neutral,Micro,False,False,Morning,1
Instagram,Reel,Sports,2029,205,116,18802,710,451007,0.52,7,Thursday,20.0,97,Positive,Macro,True,False,Morning,0
TikTok,Duet,Gaming,42071,1407,1697,33273,2547,493280,9.16,7,Thursday,29.0,211,Positive,Macro,True,True,Morning,1
Twitter,Poll,Gaming,2589,238,1485,18507,382,29355,14.69,13,Thursday,29.0,59,Neutral,Micro,True,False,Afternoon,1
Twitter,Retweet,Fashion,565,271,172,49809,86,309994,0.33,3,Friday,24.0,286,Neutral,Macro,True,True,Night,0
TikTok,Duet,Education,15555,1740,994,279823,401,373219,4.9,6,Friday,15.0,435,Positive,Macro,True,False,Morning,1
Instagram,Photo,Education,6091,235,276,8937,120,122702,5.38,10,Friday,21.0,1354,Positive,Macro,True,False,Morning,1
LinkedIn,Article,Sports,1681,142,450,29763,86,197811,1.15,10,Friday,20.0,1208,Neutral,Macro,True,False,Morning,0
Instagram,Reel,Travel,6826,292,12,9417,171,375834,1.9,18,Friday,28.0,100,Positive,Macro,True,False,Evening,0
Twitter,Retweet,Entertainment,4013,14,880,46221,154,132708,3.7,22,Friday,28.0,690,Neutral,Macro,True,False,Night,1
Instagram,Photo,Food,8994,182,83,30994,713,9032,102.51,7,Saturday,11.0,671,Positive,Nano,True,False,Morning,1
Facebook,Live,Business,7153,28,570,45513,402,31008,25.0,8,Saturday,9.0,393,Negative,Micro,True,False,Morning,1
Twitter,Retweet,Education,1095,113,139,62850,477,473835,0.28,10,Saturday,26.0,634,Positive,Macro,True,True,Morning,0
TikTok,Video,Business,13019,1420,4523,497812,1244,181666,10.44,14,Saturday,17.0,339,Neutral,Macro,True,False,Afternoon,1
YouTube,Community Post,Lifestyle,16356,856,933,270951,2210,455183,3.99,21,Saturday,28.0,1309,Positive,Macro,True,False,Night,1
Instagram,Carousel,Health,1362,333,260,22391,793,329817,0.59,1,Sunday,13.0,471,Negative,Macro,True,False,Night,0
Instagram,Carousel,Health,7333,154,7,49641,41,435804,1.72,6,Sunday,24.0,1696,Positive,Macro,True,False,Morning,0
TikTok,Video,Health,932,1932,1041,146257,944,235097,1.66,8,Sunday,23.0,165,Positive,Macro,False,True,Morning,0
LinkedIn,Poll,Gaming,256,105,361,18926,164,83175,0.87,9,Sunday,26.0,1586,Negative,Mid-tier,True,False,Morning,0
Instagram,Photo,Gaming,5955,25,276,29431,342,140736,4.45,14,Sunday,25.0,1323,Neutral,Macro,True,False,Afternoon,1
Twitter,Thread,Education,3485,259,1091,47116,20,182152,2.65,2,Monday,23.0,590,Positive,Macro,False,False,Night,1
Twitter,Thread,Gaming,2504,180,620,49601,126,183747,1.8,9,Monday,8.0,527,Positive,Macro,True,False,Morning,0
LinkedIn,Post,Education,537,107,219,28280,143,140083,0.62,16,Monday,17.0,1090,Neutral,Macro,True,False,Afternoon,0
Instagram,Reel,Business,365,314,79,33798,726,40420,1.88,21,Monday,2.0,102,Positive,Micro,True,False,Night,0
LinkedIn,Article,Education,694,18,51,25932,181,443409,0.17,2,Tuesday,24.0,998,Positive,Macro,True,False,Night,0
Facebook,Video,Education,3763,132,865,28418,276,389969,1.22,14,Tuesday,29.0,593,Neutral,Macro,True,False,Afternoon,0
LinkedIn,Poll,Food,752,48,87,3634,196,40260,2.2,17,Tuesday,19.0,446,Positive,Micro,True,True,Evening,0
Instagram,Story,Entertainment,3937,35,294,10335,293,270190,1.58,18,Tuesday,10.0,1831,Positive,Macro,True,False,Evening,0
